id,true_freq_hz,waveform,amplitude,snr_db,est_freq_hz,error_pct,success,iterations,elapsed_ms
1256,67025.82,square,0.9578,34.38,67065.43,0.059100,1,26,94.46
1257,93086.36,square,0.3330,21.06,93164.06,0.083479,1,1,1.42
1258,72882.40,sine,0.3725,30.65,72949.22,0.091680,1,29,106.91
1259,56877.24,square,0.2496,27.59,56909.18,0.056152,1,28,122.00
1260,62102.23,triangle,0.7549,38.45,62148.44,0.074408,1,17,103.21
1261,76458.99,square,0.2728,33.33,76562.50,0.135375,1,41,118.78
1262,62714.58,square,0.5408,30.57,62841.80,0.202855,1,31,124.93
1263,34109.81,square,0.2778,36.10,34145.51,0.104655,1,28,74.90
1264,19391.92,sine,0.4926,33.17,19487.30,0.491886,1,54,52.31
1265,44333.97,sine,0.6024,26.94,44428.71,0.213708,1,24,29.16
1266,93353.90,triangle,0.5521,26.56,93457.03,0.110472,1,13,16.24
1267,73976.11,sine,0.5273,26.73,74047.85,0.096981,1,24,27.23
1268,92133.05,sine,0.5975,34.81,92187.50,0.059096,1,41,34.78
1269,49016.78,sine,0.9752,30.36,49135.74,0.242695,1,14,12.32
1270,61804.44,sine,0.5351,28.58,61889.65,0.137871,1,36,30.30
1271,8414.69,sine,0.8537,24.80,8544.92,1.547693,1,11,11.42
1272,20300.87,square,0.7919,21.24,20375.98,0.369973,1,40,53.03
1273,58103.98,sine,0.1328,21.05,58105.47,0.002555,1,21,23.69
1274,83582.25,sine,0.1406,28.76,83671.88,0.107234,1,25,28.31
1275,84555.35,sine,0.4795,20.80,84624.02,0.081213,1,34,29.86
1276,45458.77,square,0.6138,26.65,45483.40,0.054171,1,16,21.99
1277,32237.78,sine,0.4301,21.99,32285.16,0.146944,1,13,13.87
1278,76893.00,triangle,0.9731,37.30,76904.30,0.014694,1,11,10.09
1279,60478.42,triangle,0.3567,32.62,60498.05,0.032448,1,7,6.57
1280,46109.31,square,0.7820,25.64,46142.58,0.072161,1,11,15.77
1281,32485.92,triangle,0.1506,29.71,32563.48,0.238734,1,10,11.58
1282,91367.28,square,0.5918,24.99,91440.43,0.080062,1,54,85.85
1283,34984.27,triangle,0.6033,30.29,35068.36,0.240354,1,19,22.23
1284,10858.39,sine,0.9673,27.54,10971.68,1.043323,1,40,33.80
1285,60718.09,sine,0.7148,38.65,60839.84,0.200518,1,5,5.06
1286,57990.86,sine,0.6235,35.33,58007.81,0.029233,1,1,0.85
1287,41235.24,triangle,0.6838,37.98,41259.77,0.059484,1,23,27.45
1288,62727.03,sine,0.3787,24.04,62841.80,0.182969,1,31,31.92
1289,90973.82,triangle,0.7088,26.02,91093.75,0.131826,1,9,10.61
1290,19220.43,triangle,0.5267,24.52,19335.94,0.600949,1,1,1.03
1291,62045.58,sine,0.3936,29.37,62148.44,0.165784,1,17,17.15
